title,venue,year,authors,doi,Label,id
Propositional Abduction via Only-Knowing: A Non-Monotonic Approach.,iclp,2025,"Sanderson Molick, Vaishak Belle",10.4204/eptcs.439.2,3,363
Visual Graph Question Answering with ASP and LLMs for Language Parsing.,iclp,2024,"Jakob Johannes Bauer, Thomas Eiter, Nelson Higuera Ruiz, Johannes Oetsch",10.4204/eptcs.416.2,5,306
How to Manage a Budget with ATL+.,kr,2023,"Stéphane Demri, Raine Rönnholm",10.24963/kr.2023/19,5,245
Automating Disease Management Using Answer Set Programming.,iclp,2016,,10.1017/cbo9781139342124.007,5,163
Natural Language Generation From Ontologies Using Grammatical Framework.,iclp,2018,Dan Moldovan,10.21236/ada512325,3,233
Explanations Generation For Web Service Workflow.,iclp,2018,"Shifeng Yan, Ying Li, Shuiguang Deng, Zhaohui Wu",10.1109/nwesp.2005.12,2,16
Incentive Design for Rational Agents.,kr,2024,"David Hyland, Munyque Mittelmann, Aniello Murano, Giuseppe Perelli, Michael Wooldridge",10.24963/kr.2024/44,2,405
Semantics for Hybrid Probabilistic Logic Programs with Function Symbols: Technical Summary.,iclp,2022,Fabrizio Riguzzi,10.1201/9781003427421-5,4,72
neXSim: A System for Explaining Nexus of Similarities.,iclp,2025,,10.18356/7a3e9edf-en,4,540
Unified Foundations of Team Semantics via Semirings.,kr,2023,"Timon Barlag, Miika Hannula, Juha Kontinen, Nina Pardal, Jonni Virtema",10.24963/kr.2023/8,1,98
A Query Evaluation Method for ASP with Abduction.,iclp,2022,"Gerhard Wetzel, Francesca Toni",10.1007/bfb0056017,4,521
Modelling Cyber Defenses using s(CASP).,iclp,2023,,10.1057/9781137476180.0009,1,94
Explaining Reasoning Results for OWL Ontologies with Evee.,kr,2024,"Christian Alrabbaa, Stefan Borgwardt, Tom Friese, Anke Hirsch, Nina Knieriemen, Patrick Koopmann, Alisa Kovtunova, Antonio Krüger, Alexej Popovič, Ida Siahaan",10.24963/kr.2024/67,5,111
Consistent Query Answering over SHACL Constraints.,kr,2024,"Shqiponja Ahmetaj, Timo Camillo Merkl, Reinhard Pichler",10.24963/kr.2024/1,1,40
Data2Concept2Text: An Explainable Multilingual Framework for Data Analysis Narration.,iclp,2024,"Flavio Bertini, Alessandro Dal Palù, Federica Zaglio, Francesco Fabiano, Andrea Formisano",10.4204/eptcs.416.13,4,559
Argument analysis using Answer Set Programming and Semantics-guided Large Language Models.,iclp,2023,Fabrizio Riguzzi,10.1201/9781003427421-6,1,237
Answer Set Solving with Generalized Learned Constraints.,iclp,2016,Ivor Uhliarik,10.5220/0006518303670372,5,370
Visualizing Kripke Models in LogiKEy: the Case of SDL.,iclp,2025,"N. Mansurov, D. Zhukov",10.1016/b978-044450228-5/50016-3,3,200
s(CASP) for SWI-Prolog.,iclp,2021,Matthias Gondan,10.32614/cran.package.rswipl,1,437
A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,iclp,2025,"Amad Atiq, George Ubakanma, Muddesar Iqbal",10.1109/es64449.2025.11136269,1,446
Fixpoint Semantics for DatalogMTL with Negation.,iclp,2025,Samuele Pollaci,10.4204/eptcs.439.19,2,95
When is a Program an Actual Cause?,iclp,2021,,10.1017/cbo9780511803161.012,4,127
Resource Allocation with Cooperative Agents.,iclp,2025,,10.1017/cbo9780511619748.013,2,327
A Causal Perspective on AI Deception in Games.,iclp,2022,,10.4135/9781483306902.n155,4,395
Queries With Exact Truth Values in Paraconsistent Description Logics.,kr,2024,"Meghyn Bienvenu, Camille Bourgaux, Daniil Kozhemiachenko",10.1613/jair.1.18676,3,538
"Proceedings 40th International Conference on Logic Programming, ICLP 2024, University of Texas at Dallas, Dallas Texas, USA, October 14-17 2024.",iclp,2025,", Naif Alatrush, Sultan Alsarra, , Afraa Alshammari, , Luay Abdeljaber, , Niamat Zawad, , Latifur Khan, , Patrick T. Brandt, , Javier Osorio, , Vito J. D’Orazio, ",10.26615/978-954-452-098-4-007,1,222
SHACL Validation under the Well-founded Semantics.,kr,2024,"Cem Okulmus, Mantas Šimkus",10.24963/kr.2024/52,2,572
Logical Judges Challenge Human Judges on the Strange Case of B.C.-Valjean.,iclp,2020,"Viviana Mascardi, Domenico Pellegrini",10.4204/eptcs.325.32,1,544
The Pyglaf Argumentation Reasoner.,iclp,2017,Mario Alviano,10.3233/fi-2019-1808,1,550
Decomposition Strategies for Solving Scheduling Problems in Industrial Applications.,iclp,2022,Mohammed M. S. El-Kholany,10.4204/eptcs.364.39,3,184
Explanations for Answer Set Programming.,iclp,2023,,10.1017/cbo9781139342124.007,5,190
A Neurosymbolic Framework for Bias Correction in Convolutional Neural Networks.,iclp,2024,"PARTH PADALKAR, NATALIA ŚLUSARZ, EKATERINA KOMENDANTSKAYA, GOPAL GUPTA",10.1017/s1471068424000322,3,176
DMAPF: A Decentralized and Distributed Solver for Multi-Agent Path Finding Problem with Obstacles.,iclp,2021,"Poom Pianpak, Tran Cao Son",10.4204/eptcs.345.24,1,407
A Prolog Program for Bottom-up Evaluation.,iclp,2024,David S. Warren,10.4204/eptcs.416.20,5,186
Computing Diverse Optimal Stable Models.,iclp,2016,,10.7551/mitpress/4316.003.0016,1,285
From Vision to Execution: Enabling Knowledge Representation and Reasoning in Hybrid Intelligent Robots Playing Mobile Games.,kr,2023,"Denise Angilica, Mario Avolio, Giovanni Beraldi, Giovambattista Ianni, Francesco Pacenza",10.24963/kr.2023/5,2,102
Machine Learning Model Integration with Open World Temporal Logic for Process Automation.,iclp,2025,"Dyuman Aditya, Colton Payne, Mario Leiva, Paulo Shakarian",10.4204/eptcs.439.4,2,253
First Order Logic and Commonsense Reasoning: A Path Less Travelled.,iclp,2022,,10.1302/3114-230258,2,362
Representing and Evaluating SBVR Specification via ASP.,iclp,2025,"Murali Mohanan, Imran Sarwar Bajwa",10.4018/ijossp.2019040104,4,584
A Planning Compilation to Reason About Goal Achievement at Planning Time.,kr,2025,"Alberto Pozanco, Marianela Morales, Daniel Borrajo, Manuela Veloso",10.24963/kr.2025/82,1,316
Cost-Optimal Delete-Free Classical Planning via Maximum Satisfiability.,kr,2025,"Masood Feyzbakhsh Rankooh, Andreas Niskanen, Matti Järvisalo",10.24963/kr.2025/75,1,198
Verification of General Games with Imperfect Information Using Strategy Logic.,kr,2024,"Yifan He, Munyque Mittelmann, Aniello Murano, Abdallah Saffidine, Michael Thielscher",10.24963/kr.2024/40,2,33
Conflict Handling in Product Configuration using Answer Set Programming.,iclp,2022,Seemran Mishra,10.4204/eptcs.345.46,4,197
LLM+Reasoning+Planning for supporting incomplete user queries in presence of APIs.,iclp,2024,"Sudhir Agarwal, Anu Sreepathy, David H. Alonso, Prarit Lamba",10.4204/eptcs.416.3,2,489
Neuro-Symbolic Agent with ASP for Robust Exception Learning in Text-Based Games.,iclp,2024,"Vinod Mishra, Julian Briseno, Mani Srivastava",10.21236/ad1230960,4,434
Causes for Changing Profiles (Preliminary Report).,kr,2023,,10.3133/b333,3,292
Prolog Coding Guidelines: Status and Tool Support.,iclp,2019,"Falco Nogatz, Philipp Körner, Sebastian Krings",10.4204/eptcs.306.8,5,555
An LLM + ASP Workflow for Joint Entity-Relation Extraction.,iclp,2025,"Trang Tran, Trung Hoang Le, Huiping Cao, Tran Cao Son",10.4204/eptcs.439.6,4,182
Comprehensive Multi-Agent Epistemic Planning.,iclp,2021,Francesco Fabiano,10.4204/eptcs.345.41,3,351
"Front Matter, Table of Contents, Preface, Conference Organization.",iclp,2017,,10.1484/m.art-eb.5.138353,1,157
Constraint CNF: SAT and CSP Language Under One Roof.,iclp,2016,Justyna Petke,10.1007/978-3-319-21810-6_6,3,86
A Scalable Approach to Probabilistic Compliance in Declarative Process Mining.,iclp,2025,"Christian Sturm, Stefan Schönig, Stefan Jablonski",10.5220/0006710305850595,3,506
Reasoning in SHIQ with Axiom- and Concept-Level Standpoint Modalities.,kr,2024,"Lucía Gómez Álvarez, Sebastian Rudolph",10.24963/kr.2024/36,2,42
Bringing Logic Programming to primary school: a teacher training course.,iclp,2024,Tom Donohoe,10.12968/prtu.2012.1.4.38,4,352
On the Strong Equivalences of LPMLN Programs.,iclp,2019,"Bin Wang, Jun Shen, Shutao Zhang, Zhizheng Zhang",10.23638/lmcs-17(1:4)2021,1,419
Pruning with Belief Traps in Multi-agent Epistemic Planning.,kr,2025,"Biqing Fang, Fangzhen Lin",10.24963/kr.2025/74,4,68
Deontic Paradoxes in ASP with Weak Constraints.,iclp,2023,"Christian Hatschka, Agata Ciabattoni, Thomas Eiter",10.4204/eptcs.385.39,3,188
"Joint Proceedings of the Joint Workshop on Knowledge Diversity and Cognitive Aspects of KR and the Workshop on Symbolic and Neuro-Symbolic Architectures for Intelligent Robotics Technology (KoDis-CAKR-SYNERGY 2024) co-located with the 21st International Conference on Principles of Knowledge Representation and Reasoning (KR 2024), Hanoi, Vietnam, November 2-8, 2024.",kr,2024,"Yi Zeng, Spyros Kotoulas, Zhisheng Huang",10.1145/2505515.2505819,1,332
Guarded Fragments Meet Dynamic Logic: The Story of Regular Guards.,kr,2025,"Bartosz Bednarczyk, Emanuel Kieroński",10.24963/kr.2025/9,3,105
Correct Causal Inference in Probabilistic Logic Programming.,iclp,2022,,10.1098/rsos.230785/v1/review1,5,60
Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,iclp,2025,,10.1515/9783110850451.5,3,224
Cost-Based Semantics for Querying Inconsistent Weighted Knowledge Bases.,kr,2024,"Meghyn Bienvenu, Camille Bourgaux, Robin Jean",10.24963/kr.2024/16,1,381
A Hitchhiker&apos;s Guide to Reinventing a Prolog Machine.,iclp,2017,Jesús Castillo,10.17398/2605-5686.37.1.1,4,30
Agentified Argumentative Learning (short paper).,iclp,2025,,10.1075/aic.20.c10,1,69
Leveraging Decision-DNNF Compilation for Enumerating Disjoint Partial Models.,kr,2024,"Jean-Marie Lagniez, Emmanuel Lonca",10.24963/kr.2024/48,1,174
"Proceedings 35th International Conference on Logic Programming (Technical Communications), ICLP 2019 Technical Communications, Las Cruces, NM, USA, September 20-25, 2019.",iclp,2019,Serdar Kadioglu,10.4204/eptcs.306.6,1,271
Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,iclp,2025,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",10.1007/978-3-642-48417-9_8,5,491
The Sticky Path to Expressive Querying: Decidability of Navigational Queries under Existential Rules.,kr,2024,"Piotr Ostropolski-Nalewaja, Sebastian Rudolph",10.24963/kr.2024/54,2,159
Diagnosis for Post Concept Drift Decision Trees Repair.,kr,2023,"Shaked Almog, Meir Kalech",10.24963/kr.2023/3,1,574
Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,iclp,2025,"Son Tran, Edjard Mota, Artur d'Avila Garcez",10.1002/9781394302406.ch02,5,517
Capturing Non-flat Assumption-based Argumentation with Bipolar SETAFs.,kr,2024,"Matti Berthold, Anna Rapberger, Markus Ulbricht",10.24963/kr.2024/12,1,121
An Iterative Fixpoint Semantics for MKNF Hybrid Knowledge Bases with Function Symbols.,iclp,2022,"Marco Alberti, Riccardo Zese, Fabrizio Riguzzi, Evelina Lamma",10.4204/eptcs.364.7,1,196
Inference in Probabilistic Logic Programs Using Lifted Explanations.,iclp,2016,Fabrizio Riguzzi,10.1201/9781003427421-9,3,462
Refining the Semantics of Epistemic Specifications.,iclp,2021,Ezgi Iraz Su,10.4204/eptcs.345.25,1,8
Proportional dependencies and asymptotics of probabilistic representations.,iclp,2020,Darren Bradley,10.1093/obo/9780195396577-0393,2,335
Natlog: a Lightweight Logic Programming Language with a Neuro-symbolic Touch.,iclp,2021,Paul Tarau,10.4204/eptcs.345.27,4,505
On the Effects of Adding Assignments in Linear-Time Temporal Logics Modulo Theories.,kr,2025,"Stéphane Demri, Raul Fervari",10.24963/kr.2025/26,4,289
"Mind the Gaps: Logical English, Prolog, and Multi-agent Systems for Autonomous Vehicles.",iclp,2024,"Galileo Sartor, Adam Wyner, Giuseppe Contissa",10.4204/eptcs.416.9,3,257
Automata for Dynamic Answer Set Solving: Preliminary Report.,iclp,2021,Ivor Uhliarik,10.5220/0006518303670372,4,231
Scalable and Ethical Medical Scheduling: An ASP-Based Framework with Patient-Centered Experimental Validation.,iclp,2025,Hongnan Ye,10.1016/j.jfma.2025.09.032,4,560
Generating Explainable Rule Sets from Tree-Ensemble Learning Methods by Answer Set Programming.,iclp,2021,"Akihiro Takemura, Katsumi Inoue",10.4204/eptcs.345.26,5,522
A Uniform Language to Explain Decision Trees.,kr,2024,"Marcelo Arenas, Pablo Barceló, Diego Bustamante, Jose Caraball, Bernardo Subercaseaux",10.24963/kr.2024/6,5,593
From Probabilistic Programming to Probabilistic Argumentation.,iclp,2021,"Rolf Haenni, Jan-Willem Romeijn, Gregory Wheeler, Jon Williamson",10.1007/978-94-007-0008-6_3,3,337
An Epistemic Logic for Reasoning about Strategies in General Auctions.,iclp,2020,Jaakko Hintikka,10.1016/b978-0-934613-04-0.50007-7,4,533
A refined operational semantics for FreeCHR.,iclp,2025,"Sascha Rechenberger, Thom Frühwirth",10.4204/eptcs.439.20,1,504
An xAI Approach for Data-to-Text Processing with ASP.,iclp,2023,"Alessandro Dal Palù, Agostino Dovier, Andrea Formisano",10.4204/eptcs.385.38,5,248
Deontic Reasoning Based on Inconsistency Measures.,kr,2024,"Ofer Arieli, Kees van Berkel, Badran Raddaoui, Christian Strasser",10.24963/kr.2024/7,1,492
Default Logic as a Species of Causal Reasoning.,kr,2023,Alexander Bochman,10.24963/kr.2023/12,4,557
ASPEN: ASP-Based System for Collective Entity Resolution.,kr,2024,"Zhiliang Xiang, Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez Basulto, Yazmín Ibáñez García",10.24963/kr.2024/74,3,152
Boolean Nearest Neighbor Language in the Knowledge Compilation Map.,kr,2025,"Ondřej Čepek, Jelena Glišić",10.24963/kr.2025/24,4,168
Lost in the Crowd: k-unmatchability in Anonymized Knowledge Graphs.,kr,2024,"Piero Andrea Bonatti, Francesco Magliocca, Luigi Sauro",10.24963/kr.2024/18,1,1
Learning General Policies from Examples.,kr,2025,"Blai Bonet, Hector Geffner",10.24963/kr.2025/71,5,90
"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025.",iclp,2025,Rémy Haemmerlé,10.1007/11562931_50,1,24
The Realizability of Revision and Contraction Operators in Epistemic Spaces.,kr,2024,"Kai Sauerwald, Matthias Thimm",10.24963/kr.2024/62,2,282
Complexity Results and Algorithms for Preferential Argumentative Reasoning in ASPIC+.,kr,2024,"Tuomo Lehtonen, Daphne Odekerken, Johannes P. Wallner, Matti Järvisalo",10.24963/kr.2024/49,3,239
Minimal Model Reasoning in Description Logics: Don&apos;t Try This at Home!,kr,2025,"Federica Di Stefano, Quentin Manière, Magdalena Ortiz, Mantas Šimkus",10.24963/kr.2025/27,2,261
Benchmarking for Integrating Logic Rules with Everything Else.,iclp,2023,"Yanhong A. Liu, Scott D. Stoller, Yi Tong, K. Tuncay Tekle",10.4204/eptcs.385.3,4,34
When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications - Abstract.,iclp,2025,"Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri",10.1109/icra57147.2024.10610800,5,507
Abductive Reasoning in a Paraconsistent Framework.,kr,2024,"Meghyn Bienvenu, Katsumi Inoue, Daniil Kozhemiachenko",10.24963/kr.2024/13,5,66
About the Multi-Head Linear Restricted Chase Termination.,kr,2025,"Lukas Gerlach, Lucas Larroque, Jerzy Marcinkowski, Piotr Ostropolski-Nalewaja",10.24963/kr.2025/34,2,530
A Preliminary Data-driven Analysis of Common Errors Encountered by Novice SPARC Programmers.,iclp,2022,"Zach Hansen, Hanxiang Du, Wanli Xing, Rory Eckel, Justin Lugo, Yuanlin Zhang",10.4204/eptcs.364.2,2,238
Expressive Description Logics with Rich Yet Affordable Numeric Constraints.,kr,2025,"Federica Di Stefano, Sanja Lukumbuzya, Magdalena Ortiz, Mantas Šimkus",10.24963/kr.2025/66,3,410
Representing Perfect Saturated Cost Partitioning Heuristics in Classical Planning.,kr,2025,"Paul Höft, David Speck, Jendrik Seipp",10.24963/kr.2025/79,1,23
On the Subtlety of Causal Reasoning in Probabilistic Logic Programming: A Bug Report about the Causal Interpretation of Annotated Disjunctions.,iclp,2023,,10.1098/rsos.230785/v1/review1,4,374
Advances in Big Data Bio Analytics.,iclp,2019,Yong Shi,10.1007/978-981-16-3607-3_1,1,565
Pushing the Envelope in Numeric Pattern Planning.,kr,2025,"Matteo Cardellini, Enrico Giunchiglia",10.24963/kr.2025/73,3,228
A Representation Theorem for Causal Decision Making.,kr,2024,,10.1017/cbo9780511498497.009,5,314
Global Type Inference for Java using Answer Set Programming.,iclp,2025,Fabrizio Riguzzi,10.1201/9781003427421-6,4,301
Reasoning in Assumption-Based Argumentation via SAT.,kr,2025,"Andreas Niskanen, Masood Feyzbakhsh Rankooh, Tuomo Lehtonen, Matti Järvisalo",10.24963/kr.2025/68,4,62
Bottom-Up Stratified Probabilistic Logic Programming with Fusemate.,iclp,2023,"Peter Baumgartner, Elena Tartaglia",10.4204/eptcs.385.11,3,258
Constraint Propagation and Explanation over Novel Types by Abstract Compilation.,iclp,2016,Krinke Andreas,10.51202/9783186474209-21,4,38
færdXel: An Expert System for Danish Traffic Law.,iclp,2025,"Luís Cruz-Filipe, Jonas Vistrup",10.4204/eptcs.439.26,1,558
Logic Tensor Network-Enhanced Generative Adversarial Network.,iclp,2025,"Nijesh Upreti, Vaishak Belle",10.4204/eptcs.439.8,3,31
Towards Incremental and Modular Context-Sensitive Analysis.,iclp,2018,"ISABEL GARCIA-CONTRERAS, JOSÉ F. MORALES, MANUEL V. HERMENEGILDO",10.1017/s1471068420000496,2,356
Implementing the First-Order Logic of Here and There.,iclp,2025,"Jens Otten, Torsten Schaub",10.4204/eptcs.439.31,2,580
Automating Defeasible Reasoning in Law with Answer Set Programming.,iclp,2022,Guido Governatori,10.31219/osf.io/bgtk6,3,433
Quantification and aggregation over concepts of the ontology.,iclp,2023,"Pierre Carbonnelle, Matthias Van der Hallen, Marc Denecker",10.4204/eptcs.385.22,4,104
Intelligent Instantiation and Supersafe Rules.,iclp,2016,"Gi Hyun Lim, Il Hong Suh",10.1007/s11370-010-0063-6,1,353
Knowledge-Based Stable Roommates Problems.,iclp,2025,Müge Fidan,10.1609/aaai.v40i48.42148,4,75
Fixpoint Semantics for Recursive SHACL.,iclp,2021,"Bart Bogaerts, Maxime Jakubowski",10.4204/eptcs.345.14,1,4
Logic Programming with Extensible Types.,iclp,2025,"Ivan Perez, Angel Herranz",10.4204/eptcs.439.18,3,350
"Graphical Conditions for the Existence, Unicity and Number of Regular Models.",iclp,2024,"Van-Giang Trinh, Belaid Benhamou, Sylvain Soliman, François Fages",10.4204/eptcs.416.16,1,135
Logic-based Composition of Business Process Models.,kr,2023,"Valeria Fionda, Antonio Ielo, Francesco Ricca",10.24963/kr.2023/27,2,585
An Answer Set Programming Framework for Reasoning About Truthfulness of Statements by Agents.,iclp,2016,"Marcello Balduccini, Michael Gelfond, Enrico Pontelli, Tran Cao Son",10.24963/kr.2020/8,3,466
(Re)Integration of Logical English and s(CASP).,iclp,2023,,10.3403/01582237,4,10
On the Trap Space Semantics of Normal Logic Programs.,iclp,2025,"Van-Giang Trinh, Sylvain Soliman, François Fages, Belaid Benhamou",10.4204/eptcs.439.21,4,528
A Principle-based Framework for Analyzing Dialogue Game-based Semantics.,kr,2025,"Yamil O. Soto, Andrea Cohen, Cristhian Ariel D. Deagustini, Maria Vanina Martinez, Gerardo I. Simari",10.24963/kr.2025/54,3,283
Compilation of Aggregates in ASP.,iclp,2021,Giuseppe Mazzotta,10.4204/eptcs.345.45,2,430
Exploring Desirable Configurations in Global Logistics with Heuristic Search in Answer Set Programming.,kr,2025,"Olcay Altay-Kern, Emmanuelle Dietz, Isabelle Kuhlmann, Matthias Thimm",10.24963/kr.2025/56,5,440
Translating Definitions into the Language of Logic Programming: A Case Study.,iclp,2022,Christopher John Hogger,10.1093/oso/9780198538202.003.0010,5,202
Context-Based Belief Revision.,kr,2025,Bernhard Nebel,10.1017/cbo9780511526664.003,1,49
A Family of Decidable Bi-intuitionistic Modal Logics.,kr,2023,"David Fernández-Duque, Brett McLean, Lukas Zenger",10.24963/kr.2023/26,1,490
Picat Through the Lens of Advent of Code.,iclp,2025,"Neng-Fa Zhou, Cristian Grozea, Håkan Kjellerstrand, Oisín Mac Fhearaí",10.4204/eptcs.439.36,1,393
Tutorial: Automating Commonsense Reasoning.,iclp,2022,,10.1016/b978-0-12-801416-5.09988-5,5,516
Probabilistic HTN Planning: Formalization and Computational Complexity Analysis.,kr,2025,"Mohammad Yousefi, Johannes Schmalz, Patrik Haslum, Pascal Bercher",10.24963/kr.2025/84,2,250
A Simple Complete Search for Logic Programming.,iclp,2017,"Jason Hemann, Daniel P. Friedman, William E. Byrd, Matthew Might",10.1145/2989225.2989230,5,392
Formalizing Informal Logic and Natural Language Deductivism.,iclp,2021,"Douglas Walton, Thomas F. Gordon",10.22329/il.v35i4.4335,3,206
Counterfactual Explanations as Plans.,iclp,2024,Vaishak Belle,10.4204/eptcs.416.14,1,483
Declarative Algorithms in Datalog with Extrema: Their Formal Semantics Simplified.,iclp,2018,"Jin Wang, Jiacheng Wu, Mingda Li, Jiaqi Gu, Ariyam Das, Carlo Zaniolo",10.1007/s00778-021-00665-6,3,508
Planning and Scheduling in Digital Health with Answer Set Programming.,iclp,2022,Marco Mochi,10.4204/eptcs.364.38,5,216
Sorting Strategies for Interactive Conflict Resolution in ASP.,iclp,2023,"Andre Thevapalan, Gabriele Kern-Isberner",10.4204/eptcs.385.13,2,474
RestKB: A Library of Commonsense Knowledge about Dining at a Restaurant.,iclp,2019,Daniela Inclezan,10.4204/eptcs.306.19,3,118
NeSyFOLD: Extracting Logic Programs from Convolutional Neural Networks.,iclp,2023,"Jens Lehmann, Sebastian Bader, Pascal Hitzler",10.1007/s10489-008-0142-y,5,50
Interactive Explanations by Conflict Resolution via Argumentative Exchanges.,kr,2023,"Antonio Rago, Hengzhi Li, Francesca Toni",10.24963/kr.2023/57,3,180
Probabilistic Synthesis and Verification for LTL on Finite Traces.,kr,2024,"Benjamin Aminof, Linus Cooper, Sasha Rubin, Moshe Y. Vardi, Florian Zuleger",10.24963/kr.2024/3,3,100
Nemo: Your Friendly and Versatile Rule Reasoning Toolkit.,kr,2024,"Alex Ivliev, Lukas Gerlach, Simon Meusel, Jakob Steinberg, Markus Krötzsch",10.24963/kr.2024/70,4,279
On Computing Universal Plans for Partially Observable Multi-Agent Path Finding.,iclp,2025,"Fengming Zhu, Fangzhen Lin",10.4204/eptcs.439.11,1,213
Correcting Autonomous Driving Object Detection Misclassifications with Automated Commonsense Reasoning.,iclp,2025,"Keegan Kimbrell, Wang Tianhao, Feng Chen, Gopal Gupta",10.4204/eptcs.439.10,2,264
Simple Contrapositive Assumption-Based Argumentation with Partially-Ordered Preferences.,kr,2023,"Ofer Arieli, Jesse Heyninck",10.24963/kr.2023/6,3,478
Structural Decompositions of Epistemic Logic Programs.,iclp,2020,"Markus Hecher, Michael Morak, Stefan Woltran",10.1609/aaai.v34i03.5672,2,32
exp(ASPc): Explaining ASP Programs with Choice Atoms and Constraint Rules.,iclp,2021,"Ly Ly Trieu, Tran Cao Son, Marcello Balduccini",10.4204/eptcs.345.28,5,458
Conditional Splittings of Belief Bases and Nonmonotonic Inference with c-Representations.,kr,2024,"Christoph Beierle, Lars-Phillip Spiegel, Jonas Haldimann, Marco Wilhelm, Jesse Heyninck, Gabriele Kern-Isberner",10.24963/kr.2024/10,1,501
Towards Structure Learning under the Credal Semantics.,iclp,2020,Derek Shiller,10.4324/9780429331169-6,1,312
"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025.",iclp,2025,"José Júlio Alferes, Luís Moniz Pereira",10.1007/bfb0030657,1,91
A Tractable Logic for Molecular Biology.,iclp,2019,"Adrien Husson, Jean Krivine",10.4204/eptcs.306.17,3,476
Cognitively Adequate Complexity of Reasoning in a Description Logic.,kr,2023,F. M. Donini,10.1017/cbo9780511711787.005,3,9
An Analysis of Gibbs Sampling for Probabilistic Logic Programs.,iclp,2020,,10.7551/mitpress/4304.003.0016,2,280
Rule Based Temporal Inference.,iclp,2017,"Fangyi Li, Qiang Shen",10.1007/978-981-97-0491-0_5,5,429
The Janus System: Multi-paradigm Programming in Prolog and Python.,iclp,2023,"Theresa Swift, Carl Andersen",10.4204/eptcs.385.24,1,455
Value of Information in Probabilistic Logic Programs.,iclp,2019,"Sarthak Ghosh, C. R. Ramakrishnan",10.4204/eptcs.306.14,5,77
Axiomatization of Approximate Exclusion.,kr,2024,Matilda Häggblom,10.24963/kr.2024/38,1,387
LTL Synthesis Under Multi-Agent Environment Assumptions.,kr,2025,"Benjamin Aminof, Giuseppe De Giacomo, Giuseppe Perelli, Sasha Rubin",10.24963/kr.2025/69,1,408
Towards One-Shot Learning for Text Classification using Inductive Logic Programming.,iclp,2023,"Ghazal Afroozi Milani, Daniel Cyrus, Alireza Tamaddoni-Nezhad",10.4204/eptcs.385.9,4,278
An s(CASP) In-Browser Playground based on Ciao Prolog.,iclp,2022,"Daniela Ferreiro, José F. Morales, Salvador Abreu, Manuel V. Hermenegildo",10.4204/eptcs.385.33,1,227
A Machine Learning guided Rewriting Approach for ASP Logic Programs.,iclp,2020,"Elena Mastria, Jessica Zangari, Simona Perri, Francesco Calimeri",10.4204/eptcs.325.31,5,480
How Lucky Are You to Know Your Way? A Probabilistic Approach to Knowing How Logics.,kr,2025,"Pablo F. Castro, Pedro R. D'Argenio, Raul Fervari",10.24963/kr.2025/23,5,486
Probabilistic Action Language pBC+.,iclp,2018,"Joohyung Lee, Yi Wang",10.29007/7fmn,1,246
Finest Syntax Splittings of Ranking Functions and Total Preorders on Worlds.,kr,2023,"Jonas Philipp Haldimann, Christoph Beierle",10.24963/kr.2023/75,1,123
TRACE-CS: A Hybrid Logic-LLM System for Explainable Course Scheduling.,kr,2025,"Stylianos Loukas Vasileiou, William Yeoh",10.24963/kr.2025/63,5,386
Proof-Relevant Resolution for Elaboration of Programming Languages.,iclp,2018,"Axel Kerinec, Giulio Manzonetto, Federico Olimpieri",10.1145/3571201,2,300
Controlled Natural Language Models.,iclp,2024,Francis Frydman,10.20944/preprints202512.1848.v1,4,534
Pushing the Boundaries of Tractable Multiperspective Reasoning: A Deduction Calculus for Standpoint EL+.,kr,2023,"Lucía Gómez Álvarez, Sebastian Rudolph, Hannes Strass",10.24963/kr.2023/33,1,469
Extended Magic for Negation: Efficient Demand-Driven Evaluation of Stratified Datalog with Precise Complexity Guarantees.,iclp,2019,"K. Tuncay Tekle, Yanhong A. Liu",10.4204/eptcs.306.28,3,340
Logic Programming and Machine Ethics.,iclp,2020,"Luís Moniz Pereira, Ari Saptawijaya",10.1007/978-3-319-29354-7_6,1,551
Explainable and Trustworthy Traffic Sign Detection for Safe Autonomous Driving: An Inductive Logic Programming Approach.,iclp,2023,"Zahra Chaghazardi, Saber Fallah, Alireza Tamaddoni-Nezhad",10.4204/eptcs.385.21,1,554
Equilibrium Description Logics: Results on Complexity and Relations to Circumscription.,kr,2024,"Federica Di Stefano, Mantas Šimkus",10.24963/kr.2024/29,1,354
